,Parental_T47D_cells_treated_with_vehicle_rep_1,Parental_T47D_cells_treated_with_vehicle_rep_2,Parental_T47D_cells_treated_with_vehicle_rep_3,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_1,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_2,4_hydroxytamoxifen_resistant_T47D_cells_treated_with_vehicle_rep_3
H3P32,0,0,0,0,0,0
H3P33,0,0,0,0,0,0
H3P34,0,0,0,0,0,0
H3P36,0,0,0,0,0,0
H3P41,0,0,0,0,0,0
H3P42,0,0,0,0,0,0
H3P43,0,0,0,0,0,0
H3P45,0,0,0,0,0,0
H3P46,0,0,0,0,0,0
H3P7,0,0,0,0,0,0
H3P9,0,0,0,0,0,0
H3Y1,0,0,0,0,0,0
H3Y2,0,0,0,0,0,0
H4C1,1,0,17,1,9,7
H4C11,3,0,4,0,3,7
H4C12,5,0,20,1,22,25
H4C13,0,0,0,0,0,0
H4C14,9,1,14,1,1,5
H4C15,4,1,7,0,2,2
H4C16,7,11,52,40,35,41
H4C2,3,1,24,1,30,23
H4C3,14,2,119,2,30,20
H4C4,0,4,32,1,13,9
H4C5,34,23,402,27,183,226
H4C6,0,0,0,0,0,0
H4C7,0,0,0,0,0,0
H4C8,71,33,195,243,353,432
H4C9,0,0,0,0,0,0
H4P1,0,0,0,0,0,0
H6PD,416,194,1160,560,1213,1350
HAAO,0,0,3,0,0,0
HABP2,1,0,0,0,2,0
HABP4,38,12,169,58,102,91
HACD1,4,0,14,142,152,154
HACD2,1411,808,2128,3815,3498,4077
HACD3,2392,1239,4015,5267,6203,6069
HACD4,174,70,229,597,572,642
HACE1,146,35,204,369,281,388
HACL1,108,74,263,266,341,342
HADH,463,269,935,1045,1308,1321
HADHA,1927,1045,4636,3473,4951,5018
HADHAP1,0,0,0,0,0,0
HADHB,1616,912,3426,2174,2841,3028
HADHBP1,0,0,2,0,1,0
HAGH,37,23,537,53,355,415
HAGHL,6,2,109,3,40,68
HAGLR,22,0,33,3,3,3
HAL,2,0,1,4,6,15
HAMP,0,0,1,0,0,0
HAND1,0,0,0,1,2,3
HAND2,0,0,0,0,0,0
HAND2-AS1,3,0,10,32,31,37
