"GeneSymbol","uniprot_id","log2FoldChange","Target_importance","Target","protein","Degree","Betweenness","Eigenvector","MCC","EPC","Score","Degree_Shifted","Betweenness_Shifted","Eigenvector_Shifted","MCC_Shifted","EPC_Shifted","Adjusted_logFC"
"STAT5A","P42229",-1.97358839082654,1.88965467116515,"P42229","9606.ENSP00000341208",18,6209.93218860856,0.251414020970325,7,13904.8643772171,1179.12107278399,2.04800725723754,0.768519766325137,3.25915416107473,2.09978286001703,0.857270849819293,-1.40484461447754
"STC2","O76061",-3.131495039429,0.0100087620285764,"O76061","9606.ENSP00000265087",1,0,4.8921775967365e-06,2,1485,0.829800328118351,0.01,0.01,0.0100632241556529,0.01,0.100431689134722,-1.76960307397704
"STING1","Q86WV6",2.03390213272983,0.106374183425388,"Q86WV6","9606.ENSP00000498596",2,0,0.00456706402603133,3,1485,1.57536631298423,0.129882779837503,0.01,0.0690225438772403,0.427956572003405,0.100431689134722,1.42614940757616
"STK26","Q3ZB77",1.94782815027688,0.01,"Q3ZB77","9606.ENSP00000377867",1,0,0,2,1,0.7556,0.01,0.01,0.01,0.01,0.01,1.39564614078099
"STK38L","Q8TBX7",1.41180430121107,0.0119422426662169,"Q8TBX7","9606.ENSP00000373684",1,0,0.00223553840056581,2,1485,0.829949937560526,0.01,0.01,0.0388910255219938,0.01,0.100431689134722,1.18819371367259
"STON2","Q17R24",2.18282608016842,0.380845600017172,"Q17R24","9606.ENSP00000450857",5,3.19140141467728,0.00625834944950902,5,1491.38280282936,4.4000596210608,0.48953111935001,0.0103898176311412,0.0908799050938058,1.26386971601022,0.10082064307089,1.47743902756372
"STRADA","Q5JPI2",1.40294589775861,0.01,"Q5JPI2","9606.ENSP00000336655",1,0,0,2,1,0.7556,0.01,0.01,0.01,0.01,0.01,1.18446017145306
"STRBP","Q32NB9",-1.25616966250523,0.0126691726727928,"Q32NB9","9606.ENSP00000321347",1,0,0.00307419364332546,2,1485,0.830006186167658,0.01,0.01,0.0497294034342635,0.01,0.100431689134722,-1.12078974946474
"STRIP2","Q9ULQ0",2.24630755215009,0.01,"Q9ULQ0","9606.ENSP00000249344",1,0,0,2,1,0.7556,0.01,0.01,0.01,0.01,0.01,1.49876867866595
"STS","P08842",2.06574231451315,0.631160864699962,"P08842","9606.ENSP00000217961",7,3761.07917651136,0.00228228365879361,3,9007.15835302271,711.279846087477,0.729296679025015,0.469401618479986,0.0394951388077015,0.427956572003405,0.558815439675627,1.43726904736488
"STX5","Q13190",-1.11660289895595,0.430564196167219,"Q13190","9606.ENSP00000294179",5,2712.71408063746,0.00188503702330659,3,6910.42816127492,513.010783646698,0.48953111935001,0.341347780951065,0.0343613139172515,0.427956572003405,0.431045323166515,-1.05669432616814
"STXBP5","Q14DF3",1.2266888776535,0.103481774464467,"Q14DF3","9606.ENSP00000321826",2,0,0.00123010734885883,3,1485,1.57514250329989,0.129882779837503,0.01,0.0258973170855298,0.427956572003405,0.100431689134722,1.10755987542593
"STXBP5L","Q4G1B4",2.4647566023424,0.0106136349020609,"Q4G1B4","9606.ENSP00000273666",1,0,0.000702730761727153,2,1485,0.829847132152189,0.01,0.01,0.019081755145432,0.01,0.100431689134722,1.56995433129196
"SULF1","Q86YV8",-5.8570315522864,0.0144204355110241,"Q86YV8","9606.ENSP00000260128",1,0,0.00509461617018039,2,1485,0.830141695906534,0.01,0.01,0.0758403746319862,0.01,0.100431689134722,-2.42013048249188
"SUN1","O94901",-1.16811626531054,0.34807181157963,"O94901","9606.ENSP00000384015",4,2966,0.00166784980935775,3,7417,559.822631862687,0.369648339512507,0.372285699519765,0.0315544905857182,0.427956572003405,0.461914694489959,-1.08079427520252
"SUOX","P51687",1.46195336635992,0.469731859900228,"P51687","9606.ENSP00000377668",5,4389.82614887901,0.00768086968923043,2,10264.652297758,827.828359823498,0.48953111935001,0.546200686822923,0.109263874047747,0.01,0.635444349041596,1.20911263592765
"SYNC","Q9H7C4",1.27712578700873,0.10546434094533,"Q9H7C4","9606.ENSP00000386439",2,27.9818551712333,0.00773914494687315,2,1540.96371034247,6.8180429171955,0.129882779837503,0.0134178779415277,0.110016995512996,0.01,0.103841994294099,1.13009990134002
"SYNE3","Q6ZMZ3",-1.29315668708616,0.102480563740166,"Q6ZMZ3","9606.ENSP00000334308",2,0,7.50159157812686e-05,3,1485,1.57506503131747,0.129882779837503,0.01,0.0109694696976996,0.427956572003405,0.100431689134722,-1.13717047406541
"SYNE4","Q7Z7L3",1.26049701648933,0.102480563740166,"Q7Z7L3","9606.ENSP00000316130",2,0,7.50159157812682e-05,3,1485,1.57506503131747,0.129882779837503,0.01,0.0109694696976996,0.427956572003405,0.100431689134722,1.12271858294469
"SYNGAP1","Q9UGE2",1.04601051355302,0.498215187713032,"Q9UGE2","9606.ENSP00000496007",5,4716.62280567846,0.0219758000388248,4,10918.2456113569,889.196166998869,0.48953111935001,0.586117664371577,0.294004694183392,0.84591314400681,0.675272884995713,1.02274655391892
"SYNPO","O15271",1.46184252689177,0.209042944530342,"O15271","9606.ENSP00000377789",3,688.008435274239,0.00316784157788223,3,2861.01687054848,131.463185936815,0.249765559675005,0.0940376322484244,0.0509396644016782,0.427956572003405,0.184283124364893,1.20906680001221
"SYT17","O43330",2.66119353473063,0.01,"O43330","9606.ENSP00000347538",1,0,0,2,1,0.7556,0.01,0.01,0.01,0.01,0.01,1.63131650354265
"SYTL2","Q2YDA7",1.45166544797844,0.01,"Q2YDA7","9606.ENSP00000318803",1,0,0,2,1,0.7556,0.01,0.01,0.01,0.01,0.01,1.20485079905291
"SYVN1","Q86TM6",-1.25704822946021,1.11223621971973,"Q86TM6","9606.ENSP00000366395",12,4238.55090172369,0.0264838095324168,5,9962.10180344737,804.607891540677,1.32871057821253,0.527722986642312,0.352264045621861,1.26386971601022,0.617007588765952,-1.12118162197755
"TACC3","Q2NKK4",1.15482696079034,0.562302753292634,"Q2NKK4","9606.ENSP00000326550",6,3732.26913495013,0.0252552887413722,3,8949.53826990023,705.138195885054,0.609413899187512,0.465882580698394,0.336387232448181,0.427956572003405,0.555304198809826,1.07462875486855
"TAF12","Q15775",-1.07340769426491,0.969203624017197,"Q15775","9606.ENSP00000263974",11,2440.43622302467,0.000750177972529348,7,6365.87244604935,466.349688100628,1.20882779837502,0.30809006884419,0.0196949401293655,2.09978286001703,0.397861298128904,-1.03605390509612
"TAF9","Q16594",-1.54487330315413,0.972444119817743,"Q16594","9606.ENSP00000370193",11,2581.56485423482,0.00075638535649366,7,6648.12970846965,492.842355167726,1.20882779837502,0.325328398203676,0.0197751613809854,2.09978286001703,0.415061433581202,-1.24292932347504
"TAF9B","Q9HBM6",1.9569056924764,0.283768413190284,"Q9HBM6","9606.ENSP00000339917",4,31.9894696028067,0.000113414259329653,4,1548.97893920562,9.06036084053326,0.369648339512507,0.0139073929104245,0.0114657114635212,0.84591314400681,0.104330424674757,1.39889445365846
"TAOK2","O94957",1.38764303009377,0.282580993325712,"O94957","9606.ENSP00000310094",4,94.8080344984234,0.00204395231021922,3,1674.61606899685,20.8425013239255,0.369648339512507,0.021580443391219,0.0364150588266951,0.427956572003405,0.111986474449056,1.17798261026798
"TAOK3","Q658N1",-1.36868185023867,0.103901512317489,"Q658N1","9606.ENSP00000376317",2,0,0.00171435665461974,3,1485,1.57517498190083,0.129882779837503,0.01,0.0321555227366629,0.427956572003405,0.100431689134722,-1.1699067698918
"TAPBP","O15210",1.20663765792153,0.49241079184856,"O15210","9606.ENSP00000404833",6,203.67128657451,0.0230544563614703,6,1892.34257314902,42.7805301781551,0.609413899187512,0.0348776785329524,0.307944730882884,1.68182628801362,0.125254247723907,1.09847059947981
"TAS2R43","P59537",-1.28544212855652,0.0104435411332691,"P59537","9606.ENSP00000431719",1,0,0.000506494494593407,2,1485,0.829833970585752,0.01,0.01,0.0165456917968145,0.01,0.100431689134722,-1.13377340264998
"TAT","P17735",-3.09224302065979,0.102466666189326,"P17735","9606.ENSP00000348234",2,0,5.8982386049558e-05,3,1485,1.57506395594863,0.129882779837503,0.01,0.0107622600534505,0.427956572003405,0.100431689134722,-1.75847747232081
"TAX1BP1","O60398",-1.32808806179699,0.476414966342214,"O60398","9606.ENSP00000379612",6,251.730935109599,0.0132527144988553,4,1988.4618702192,51.7810499983353,0.609413899187512,0.040747983114277,0.181271722608397,0.84591314400681,0.131111545832059,-1.1524270310076
"TBC1D17","Q9HA65",1.53761690820675,0.222398044274978,"Q9HA65","9606.ENSP00000221543",3,1247.41446066831,0.00378130864970258,3,3979.82892133661,236.474926169026,0.249765559675005,0.162366965770158,0.0588678184536859,0.427956572003405,0.252461064780697,1.24000681780656
"TBX3","O15119",3.21975465115234,0.352280092662735,"O15119","9606.ENSP00000257566",4,3244.721035708,0.00411354975123064,2,7974.44207141599,612.134018718887,0.369648339512507,0.406330421499652,0.0631615430174299,0.01,0.495883985671163,1.7943674794067
"TCEA1","P23193",-1.2791093512659,0.669955623896829,"P23193","9606.ENSP00000428426",8,1100.99179064911,0.000851499139329847,6,3686.98358129821,212.693986050698,0.849179458862517,0.144481989561979,0.0210043662681473,1.68182628801362,0.234615715215397,-1.13097716655373
"TCEAL9","Q9UHQ7",2.22471104117287,0.01,"Q9UHQ7","9606.ENSP00000496422",1,0,0,2,1,0.7556,0.01,0.01,0.01,0.01,0.01,1.49154652665375
"TCF12","Q7Z3D9",-1.01732925568656,0.513504510610603,"Q7Z3D9","9606.ENSP00000388940",6,636.624473470375,0.0458636985716539,4,2758.24894694075,124.035452238122,0.609413899187512,0.0877612753548945,0.602720431745354,0.84591314400681,0.178020673609694,-1.00862741172673
"TCF19","Q0EFA8",1.68861822918048,0.103961115662857,"Q0EFA8","9606.ENSP00000365433",2,0,0.001783120713919,3,1485,1.57517959390628,0.129882779837503,0.01,0.033044196441265,0.427956572003405,0.100431689134722,1.29946844100982
"TCF4","P15884",3.84524732199377,0.755131644838723,"P15884","9606.ENSP00000381382",8,3273.65322297309,0.0515832401385367,4,8032.30644594618,620.528812704424,0.849179458862517,0.409864378917714,0.676637042321622,0.84591314400681,0.49941011311691,1.96093021854266
"TCF7","P36402",2.028324462737,0.565464759120818,"P36402","9606.ENSP00000340347",7,368.309958637008,0.00629179688297665,5,2221.61991727401,74.4100574261561,0.729296679025015,0.0549876706017883,0.091312163673535,1.26386971601022,0.145319683318933,1.42419256518808
"TCF7L1","Q53R97",2.41010114311071,0.623347314664903,"Q53R97","9606.ENSP00000282111",7,1939.24623081337,0.0315250816133005,5,5363.49246162674,369.307906835511,0.729296679025015,0.246871603935027,0.417415026841983,1.26386971601022,0.336778471210998,1.55245004528671
"TDRD12","Q587J7",3.22360232595325,0.0100000030468898,"Q587J7","9606.ENSP00000390621",1,0,0,2,2,0.75565,0.01,0.01,0.01,0.01,0.0100609377959129,1.79543931280154
